Label Area Mean StdDev Min Max Perim. IntDen Median %Area RawIntDen
15-12a_SD_M3_04.tif 90.6 123.4 27.14 59 192 34.01 11180 126 0 42080 
15-12a_SD_M3_04.tif 9114 140.6 29.66 26 255 400.9 1282000 141 0 4823000 
15-12a_SD_M3_04.tif 143.5 117.1 44.23 46 255 45.34 16800 107 0 63240 
15-12a_SD_M3_04.tif 73.87 116.3 48.81 45 255 36.44 8590 103 0 32330 
15-12a_SD_M3_04.tif 101.5 109 32.56 46 193 36.44 11070 105 0 41650 
15-12a_SD_M3_04.tif 154.1 128.3 32.92 57 255 44.53 19780 128 0 74440 
15-12a_SD_M3_04.tif 42.51 104.4 26.73 59 170 23.48 4438 105 0 16700 
15-12a_SD_M3_04.tif 51.01 103.5 50.86 44 255 25.91 5281 91 0 19880 
15-12a_SD_M3_04.tif 55.27 118.3 35.33 49 209 26.72 6539 117 0 24610 
15-12a_SD_M3_04.tif 53.14 111.6 34.28 52 192 26.72 5932 110 0 22330 
15-12a_SD_M3_04.tif 22.32 100.6 21.52 61 152 17 2245 95 0 8448 
15-12a_SD_M3_08.tif 8483 138.8 26.11 45 245 389.6 1177000 138 0 4432000 
15-12a_SD_M3_08.tif 77.85 119.2 32.14 58 198 30.77 9283 120 0 34940 
15-12a_SD_M3_08.tif 110.5 127.2 36.26 51 199 37.25 14060 126 0 52930 
15-12a_SD_M3_08.tif 129.9 111.1 26.89 55 182 40.48 14430 113 0 54320 
15-12a_SD_M3_08.tif 91.4 107.7 22.16 66 179 34.01 9847 107 0 37060 
15-12a_SD_M3_08.tif 105.7 118.4 32.25 58 189 36.44 12520 120 0 47130 
15-12a_SD_M3_08.tif 132.9 114.4 28.08 62 199 42.1 15200 117 0 57200 
15-12a_SD_M3_08.tif 83.96 133 36.26 49 217 32.39 11170 139 0 42020 
15-12a_SD_M3_08.tif 37.2 127.2 15.72 75 161 21.86 4732 129 0 17810 
15-12a_SD_M3_08.tif 96.72 126.8 32.73 64 255 35.63 12270 124 0 46170 
15-12a_SD_M3_08.tif 82.63 107.4 25.78 53 167 32.39 8873 108 0 33390 
15-12a_SD_M3_08.tif 8634 144 29.37 38 255 395.3 1244000 145 0 4681000 
15-12a_SD_M3_08.tif 140.3 124.1 30.78 53 255 42.91 17410 125 0 65510 
15-12a_SD_M3_08.tif 160.5 115.4 38.55 38 214 45.34 18520 121 0 69710 
15-12a_SD_M3_08.tif 115.3 109.9 37.04 42 197 38.06 12680 105 0 47720 
15-12a_SD_M3_08.tif 197.2 122.3 45.55 39 255 52.63 24120 125 0 90780 
15-12a_SD_M3_08.tif 73.33 115.7 35.49 61 194 30.77 8487 109 0 31940 
15-12a_SD_M3_08.tif 8502 151.6 31.34 24 255 402.9 1289000 151 0 4851000 
15-12a_SD_M3_08.tif 94.59 133.7 35.71 80 236 35.63 12650 124 0 47590 
15-12a_SD_M3_08.tif 114.3 114.1 39.49 46 255 38.06 13040 111 0 49070 
15-12a_SD_M3_08.tif 175.4 137.1 44.35 46 255 47.77 24040 141 0 90490 
15-12a_SD_M3_08.tif 110.5 127.7 42.18 52 231 37.25 14120 115 0 53130 
15-12a_SD_M3_08.tif 76.52 140.6 34.95 69 213 30.77 10760 143 0 40490 
